BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,TotalDistanceM
59.9,19.2,-4.6,4743,2.8,186.6
51.5,5.4,-6.9,2480,-39.3,140.9
61.9,12.8,0.2,2672,3.2,224.7
67.2,13.7,4.3,2203,-5.7,246.9
73.4,7.9,5,3515,-1.5,251.4
61.6,1.5,-5.6,2312,-30.2,142.7
67.7,5.6,3.3,1340,-38.7,204.3
64.1,10.7,-2.4,2490,-27,228.4
69.7,15.1,-0.1,2888,7.5,251.5
37.9,13.9,-0.5,2175,11.8,108.1
57.2,19.7,0.4,3800,17.9,191.4
32.5,13.3,3.3,2342,-7.2,88.3
55.3,14.1,2.1,2090,16.1,201.4
68.8,10.2,1.8,3261,-13.6,243.7
64.2,15.1,7.1,3500,4.4,216.6
64.8,15.1,5.3,3270,6.6,231.5
36.9,0.9,0.7,3446,-1,52.6
44.3,16.4,-4.5,3440,8.4,145.4
55.6,7.8,-3.2,2440,-4.1,189.2
63.8,14.8,6.3,5210,17.3,194.9
65.9,12.1,2.4,2814,-1.1,243.1
64.3,10.7,-2.6,2360,-25,225.2
48.4,15.7,2.5,3510,-6.9,162.4
51.5,9.9,1.6,1720,0.8,170.4
14.1,20.4,-7.7,2660,-14.7,24.6
66.4,12.4,1.8,2560,3.3,248.8
58.2,8.5,-2.6,3000,-7.8,202.7
63,17.2,-1.2,4200,12,207.3
69.3,13.1,0.5,2997,-4.1,245.8
70.9,16.6,2.3,2584,2.7,261.2
58.3,19.1,12.7,3070,22,205.8
66.1,15.6,7.4,3650,1.1,219.4
56.3,15.9,4.9,5435,3.1,173.4
59.8,17.9,4.7,2900,5.8,212.8
63.7,10.3,3.8,3816,-1.6,219.1
74.2,16,0.7,3285,-2.3,255.4
24.8,24.7,4.8,2710,-2.4,65.9
69.6,16.6,-2,3250,-0.3,245.9
60.3,11.4,4.8,2925,10.7,206.9
63.6,13.5,6.1,2870,-14.3,224.8
62,19.4,4.8,3180,4.3,212.9
45,35.2,-1.8,8690,-4.2,108
51.8,6.7,-3.3,2320,-6,165
37.1,22.8,-4.9,3830,-5.2,113.1
57.9,17.8,1.1,6350,2.4,169.5
63.7,7.5,-3.1,3375,-4.8,220.5
23.8,19.2,2.6,2000,-2.4,61.4
38.2,17.9,1.1,3370,-4.3,119.7
52.7,21.8,0.7,5230,11.7,154.4
57.9,7.5,5.2,6683,34.9,157.1
11.3,27.8,0.5,3060,-11.4,16.6
55.9,11.4,-2.1,3410,-10,190.7
56,15.5,1,3470,4.1,193
65.8,12.9,-3.6,2820,-17.4,233
39.8,12.1,7.9,5756,37.8,107.8
60.5,14.3,-0.4,3309,2.1,211.5
40.6,14.2,-4.3,3540,6.5,126.5
75.1,9.5,2,2240,-23.7,265.9
67.2,17.7,-6.3,5723,-3.1,197.5
64.8,19.1,2.1,4677,6,201.9
43.2,20.7,8.9,4120,1.7,136.5
