BallSpeedMPS,VerticalLaunchAngleDeg,HorizontalLaunchAngleDeg,SpinRateRPM,SpinAxisDeg,CarryDistanceM
66,13.3,3,2790,6.6,224.4
73.4,16.4,-0.4,2630,-9.6,250.4
51.9,12.1,-5.5,4170,-21.6,147.5
68.5,12.6,0.8,2270,-11.7,233.4
46.5,18.6,-5.1,7402,13,122.9
71.9,12.7,-0.7,2622,-9.3,249
67.9,14,2.1,2434,0.5,235.9
67.6,4.7,1.2,1230,-30.6,138.4
43,25.5,0,5710,-7.5,117.8
31.7,21.1,2.2,3850,7.6,73.5
62.7,13.8,9.3,3280,2.1,207.4
71.4,12.3,0,1830,-11.7,244.3
50.8,5.5,-3,2710,-5.9,114.2
55.9,4.3,-3,2240,-19.2,107.7
58.5,16,3.4,4810,9.3,177.5
77,10.6,1.6,3335,-2.2,260
70,15.2,-0.6,2850,-2.8,235.3
56.2,11.7,2.5,3140,-1.5,174.4
66.7,8.9,4.3,1720,-10.1,201.7
27.9,35.6,15.8,3411,12.2,63.9
56.6,23.3,3,4750,3.1,166.1
48,11.7,2.5,1910,3.4,124.2
74.3,13.2,0.1,3940,-5.9,236.6
54.5,15.4,2.3,3710,-16,168.2
33.3,27.9,-8.7,7712,12.1,74.5
22,26,-2,5850,-4.2,39.1
35.1,7.6,5.4,3359,64.8,36.9
57,1.4,-8.7,3085,-66,27.4
62.4,6.8,4.7,1690,0.5,161.7
68.8,14.5,6.3,3090,4.8,234.1
66.1,11.8,0.2,2365,0.3,222
64.7,12.7,-2.4,2730,-21.6,211.3
11.5,40.9,-2.2,2920,-1.2,12.9
67.4,11.3,0.3,3383,2.1,223.2
63.3,8.1,0.6,1570,-59.7,124
61.9,7.3,-1.7,1990,-27.7,155.7
52.5,20,-2.4,3882,-12.9,161.8
32.3,27.3,-2.7,3850,6.3,80.1
64.3,10,-0.5,1340,-17.7,186.1
